precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad,calle,colonia,alcaldia
30500," Departamento en Renta en Ampliación Granada,  Ampliación Granada, Miguel Hidalgo",7022,70,2,2,2,2.0, Departamento en Renta en Ampliación Granada, Ampliación Granada,Miguel Hidalgo
18200," zempoala 9,  Vertiz Narvarte, Benito Juárez",7921,2,1,2,2,12.0, zempoala 9, Vertiz Narvarte,Benito Juárez
32000,"  Lago Alberto ,  Anáhuac II Sección, Miguel Hidalgo",7522,2,2,2,2,8.0,  Lago Alberto , Anáhuac II Sección,Miguel Hidalgo
28700," Petén,  Piedad Narvarte, Benito Juárez",300021,3000,1,1,1,2.0, Petén, Piedad Narvarte,Benito Juárez
21000," La Morena 862,  Narvarte Poniente, Benito Juárez",9422,94,2,2,2,2.0, La Morena 862, Narvarte Poniente,Benito Juárez
32000," Edgar Allan Poe ,  Polanco, Miguel Hidalgo",7021,70,2,1,1,2.0, Edgar Allan Poe , Polanco,Miguel Hidalgo
26000," Nueva York 290,  Nápoles, Benito Juárez",6411,64,1,1,1,1.0, Nueva York 290, Nápoles,Benito Juárez
27000," Sierra Minuira 26,  Reforma Social, Miguel Hidalgo",12022,120,2,2,2,2.0, Sierra Minuira 26, Reforma Social,Miguel Hidalgo
1495000," Sierra Gorda,  Lomas de Chapultepec, Miguel Hidalgo",35234,3,4,3,3,1.0, Sierra Gorda, Lomas de Chapultepec,Miguel Hidalgo
28000," Av. Tecamachalco,  Reforma Social, Miguel Hidalgo",10011,100,2,1,1,1.0, Av. Tecamachalco, Reforma Social,Miguel Hidalgo
17500," Pacifico 195,  Pueblo de los Reyes, Coyoacán",10032,3,2,3,3,30.0, Pacifico 195, Pueblo de los Reyes,Coyoacán
120000," Av. Paseo de la Reforma,  Cuauhtémoc, Cuauhtémoc",45934,4,4,3,3,1.0, Av. Paseo de la Reforma, Cuauhtémoc,Cuauhtémoc
75000," Eugenio Sue ,  Polanco, Miguel Hidalgo",23032,230,3,2,2,3.0, Eugenio Sue , Polanco,Miguel Hidalgo
28700," Petén,  Piedad Narvarte, Benito Juárez",300021,3000,1,1,1,2.0, Petén, Piedad Narvarte,Benito Juárez
25000," Avenida Colonia del Valle 523,  Del Valle Centro, Benito Juárez",11031,110,2,1,1,3.0, Avenida Colonia del Valle 523, Del Valle Centro,Benito Juárez
37000," Avenida Sonora #180,  Hipódromo, Cuauhtémoc",10021,2,1,2,2,1.0, Avenida Sonora #180, Hipódromo,Cuauhtémoc
24000," Pilares 326,  Del Valle Centro, Benito Juárez",9422,94,2,2,2,2.0, Pilares 326, Del Valle Centro,Benito Juárez
24500," Lafragua  13,  Tabacalera, Cuauhtémoc",6511,1,1,1,1,, Lafragua  13, Tabacalera,Cuauhtémoc
14000," RESIDENCIAL IZAMAL ,  Cancún, Benito Juárez",9032,2,2,3,3,, RESIDENCIAL IZAMAL , Cancún,Benito Juárez
27000," Félix Parra,  San José Insurgentes, Benito Juárez",13512,1,2,1,1,1.0, Félix Parra, San José Insurgentes,Benito Juárez
19900," Av. Santa Fe 498,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",5011,50,1,1,1,1.0, Av. Santa Fe 498, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
36000," Lago Nauchatel,  Polanco, Miguel Hidalgo",11232,112,2,2,2,3.0, Lago Nauchatel, Polanco,Miguel Hidalgo
200000," Plinio ,  Polanco, Miguel Hidalgo",25032,3,2,3,3,1.0, Plinio , Polanco,Miguel Hidalgo
13100," Poniente 122,  Santa Cruz de las Salinas, Azcapotzalco",5821,58,2,1,1,2.0, Poniente 122, Santa Cruz de las Salinas,Azcapotzalco
100000," Edgar Allan Poe ,  Polanco, Miguel Hidalgo",24433,3,3,3,3,1.0, Edgar Allan Poe , Polanco,Miguel Hidalgo
56000," Heráclito,  Polanco, Miguel Hidalgo",24432,244,2,2,2,3.0, Heráclito, Polanco,Miguel Hidalgo
167000," Av. de los Poetas 100,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",47044,4,4,4,4,1.0, Av. de los Poetas 100, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
9000," LOMAS,  Lomas de Chapultepec, Miguel Hidalgo",52033,4,3,3,3,1.0, LOMAS, Lomas de Chapultepec,Miguel Hidalgo
48000," av santa fe ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",19033,3,3,3,3,1.0, av santa fe , Santa Fe Cuajimalpa,Cuajimalpa de Morelos
58000," Arquimides,  Polanco, Miguel Hidalgo",15522,2,2,2,2,9.0, Arquimides, Polanco,Miguel Hidalgo
7150000," Av Carlos Lazo # ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",13922,2,2,2,2,1.0, Av Carlos Lazo # , Santa Fe Cuajimalpa,Cuajimalpa de Morelos
16500," Granados 14 Cuajimalpa,  Cuajimalpa, Cuajimalpa de Morelos",7021,70,2,1,1,2.0, Granados 14 Cuajimalpa, Cuajimalpa,Cuajimalpa de Morelos
48000," Carretera México Toluca 1535,  Cooperativa Palo Alto, Cuajimalpa de Morelos",20533,3,3,3,3,1.0, Carretera México Toluca 1535, Cooperativa Palo Alto,Cuajimalpa de Morelos
100000," Ciceron ,  Polanco, Miguel Hidalgo",23032,3,2,3,3,5.0, Ciceron , Polanco,Miguel Hidalgo
23500," Lago filt 7 ,  Granada, Miguel Hidalgo",6111,61,1,1,1,1.0, Lago filt 7 , Granada,Miguel Hidalgo
37000," Avenida Carlos Fernández Graef 300,  Contadero, Cuajimalpa de Morelos",13432,134,2,2,2,3.0, Avenida Carlos Fernández Graef 300, Contadero,Cuajimalpa de Morelos
47000," Av. Cobalto 90, Los Framboyanes, Tlalpan, 14150 Ciudad de México, Cdmx,  Lomas del Pedregal Framboyanes, Tlalpan",18023,180,3,3,3,2.0, Av. Cobalto 90,Los Framboyanes,Tlalpan
11100," TINUM ,  Pedregal de San Nicolás, Tlalpan",9031,2,1,3,3,4.0, TINUM , Pedregal de San Nicolás,Tlalpan
110000," sierra chalchihui ,  Lomas de Chapultepec, Miguel Hidalgo",39032,3,2,3,3,2.0, sierra chalchihui , Lomas de Chapultepec,Miguel Hidalgo
11000," Av del sol,  Cancún, Benito Juárez",8521,85,1,1,1,2.0, Av del sol, Cancún,Benito Juárez
11000," Ángel Zimbrón,  Nextengo, Azcapotzalco",7121,71,1,1,1,2.0, Ángel Zimbrón, Nextengo,Azcapotzalco
55000," Cda De Ferrocarril De Cuernavaca 779,  Ampliación Granada, Miguel Hidalgo",13522,135,2,2,2,2.0, Cda De Ferrocarril De Cuernavaca 779, Ampliación Granada,Miguel Hidalgo
43000," Carretera México-Toluca,  Lomas de Bezares, Miguel Hidalgo",16532,2,2,3,3,1.0, Carretera México-Toluca, Lomas de Bezares,Miguel Hidalgo
42000," CUERNAVACA 100,  Condesa, Cuauhtémoc",11021,110,2,1,1,2.0, CUERNAVACA 100, Condesa,Cuauhtémoc
43000," González De Cossío,  Del Valle Centro, Benito Juárez",17832,178,2,2,2,3.0, González De Cossío, Del Valle Centro,Benito Juárez
41000," Ejército Nacional 453 Latitud Polanco,  Polanco, Miguel Hidalgo",11532,115,2,2,2,3.0, Ejército Nacional 453 Latitud Polanco, Polanco,Miguel Hidalgo
37000," Aqua Residencial Av Huayacan,  Cancún, Benito Juárez",24032,1,2,3,3,1.0, Aqua Residencial Av Huayacan, Cancún,Benito Juárez
25000," Av. Revolución 1030,  San José Insurgentes, Benito Juárez",7022,2,2,2,2,1.0, Av. Revolución 1030, San José Insurgentes,Benito Juárez
22800," Cordoba 229,  Roma Norte, Cuauhtémoc",6211,62,1,1,1,1.0, Cordoba 229, Roma Norte,Cuauhtémoc
6700000," Periférico Sur 411,  Fuentes del Pedregal, Tlalpan",13232,132,2,2,2,3.0, Periférico Sur 411, Fuentes del Pedregal,Tlalpan
55000," lago zurich ,  Granada, Miguel Hidalgo",8422,2,2,2,2,1.0, lago zurich , Granada,Miguel Hidalgo
37500," Patricio Sanz 222 bis,  Del Valle Norte, Benito Juárez",23041,230,4,1,1,4.0, Patricio Sanz 222 bis, Del Valle Norte,Benito Juárez
31000," Avenida Tamaulipas,  Condesa, Cuauhtémoc",19031,190,2,1,1,3.0, Avenida Tamaulipas, Condesa,Cuauhtémoc
22000," Miguel Laurent numero 60,  Del Valle Sur, Benito Juárez",8021,2,1,2,2,3.0, Miguel Laurent numero 60, Del Valle Sur,Benito Juárez
12500," Carr. México-Toluca 5623,  Cuajimalpa, Cuajimalpa de Morelos",5811,58,1,1,1,1.0, Carr. México-Toluca 5623, Cuajimalpa,Cuajimalpa de Morelos
110000," PUERTO CANCÚN,  Cancún, Benito Juárez",22332,3,2,3,3,2.0, PUERTO CANCÚN, Cancún,Benito Juárez
19000," Jose Rosas moreno 97,  San Rafael, Cuauhtémoc",5621,56,1,1,1,2.0, Jose Rosas moreno 97, San Rafael,Cuauhtémoc
50000," Polanco,  Polanco, Miguel Hidalgo",20031,2,1,3,3,43.0, Polanco, Polanco,Miguel Hidalgo
10990000," RÍO CHURUBUSCO 601,  Xoco, Benito Juárez",9122,91,2,2,2,2.0, RÍO CHURUBUSCO 601, Xoco,Benito Juárez
47000," Lago Zurich 273,  Granada, Miguel Hidalgo",14732,147,2,2,2,3.0, Lago Zurich 273, Granada,Miguel Hidalgo
20500," Carretara México Toluca  ,  Contadero, Cuajimalpa de Morelos",8122,2,2,2,2,4.0, Carretara México Toluca  , Contadero,Cuajimalpa de Morelos
29000," Agricultura 97,  Escandón II Sección, Miguel Hidalgo",6521,65,1,1,1,2.0, Agricultura 97, Escandón II Sección,Miguel Hidalgo
23000," ROMERO DE TERREROS 730,  Del Valle Norte, Benito Juárez",10032,100,3,2,2,3.0, ROMERO DE TERREROS 730, Del Valle Norte,Benito Juárez
29000," Agricultura 97,  Escandón II Sección, Miguel Hidalgo",6521,65,1,1,1,2.0, Agricultura 97, Escandón II Sección,Miguel Hidalgo
19000," Av. Prolongación Paseo de Reforma  489,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",4811,1,1,1,1,8.0, Av. Prolongación Paseo de Reforma  489, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
25963000," Ruben Dario,  Polanco, Miguel Hidalgo",30032,3,2,3,3,60.0, Ruben Dario, Polanco,Miguel Hidalgo
40000," tlaxcala 13,  Roma Norte, Cuauhtémoc",16722,167,2,2,2,2.0, tlaxcala 13, Roma Norte,Cuauhtémoc
50000," Alfonso Reyes 53,  Hipódromo Condesa, Cuauhtémoc",7021,70,2,1,1,2.0, Alfonso Reyes 53, Hipódromo Condesa,Cuauhtémoc
5200000," Bayoneta,  Bosques de las Lomas, Cuajimalpa de Morelos",16521,2,1,2,2,1.0, Bayoneta, Bosques de las Lomas,Cuajimalpa de Morelos
13000," Luisa 100,  Nativitas, Benito Juárez",6021,60,2,1,1,2.0, Luisa 100, Nativitas,Benito Juárez
29500," Sonora ,  Roma Norte, Cuauhtémoc",11022,110,2,2,2,2.0, Sonora , Roma Norte,Cuauhtémoc
39009," Avenida santa fe,  Cuajimalpa, Cuajimalpa de Morelos",10322,103,2,2,2,2.0, Avenida santa fe, Cuajimalpa,Cuajimalpa de Morelos
30000," Ampliacion Granada ,  Ampliación Granada, Miguel Hidalgo",6511,65,1,1,1,1.0, Ampliacion Granada , Ampliación Granada,Miguel Hidalgo
23500," Carretera Mexico-toluca,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",12032,120,2,2,2,3.0, Carretera Mexico-toluca, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
27000," Reforma Social ,  Reforma Social, Miguel Hidalgo",12022,120,2,2,2,2.0, Reforma Social , Reforma Social,Miguel Hidalgo
45009," Calle Chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8522,85,2,2,2,2.0, Calle Chicontepec , Hipódromo Condesa,Cuauhtémoc
15500," Manzanastitla ,  Manzanastitla, Cuajimalpa de Morelos",6511,65,1,1,1,1.0, Manzanastitla , Manzanastitla,Cuajimalpa de Morelos
10500," aldana 11,  Del Gas, Azcapotzalco",5521,55,1,1,1,2.0, aldana 11, Del Gas,Azcapotzalco
23000," Renta Town House Lomas DE Vista Hermosa,  Lomas de Vista Hermosa, Cuajimalpa de Morelos",14522,145,2,2,2,2.0, Renta Town House Lomas DE Vista Hermosa, Lomas de Vista Hermosa,Cuajimalpa de Morelos
45017," Calle Chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8422,84,2,2,2,2.0, Calle Chicontepec , Hipódromo Condesa,Cuauhtémoc
25500," Calle Lago Alberto,  Anáhuac I Sección, Miguel Hidalgo",5511,55,1,1,1,1.0, Calle Lago Alberto, Anáhuac I Sección,Miguel Hidalgo
6900000," Secretaria de Marina,  Bosques de las Lomas, Cuajimalpa de Morelos",15022,150,3,2,2,2.0, Secretaria de Marina, Bosques de las Lomas,Cuajimalpa de Morelos
45000," Calle chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8522,85,2,2,2,2.0, Calle chicontepec , Hipódromo Condesa,Cuauhtémoc
30014," Cuauhtémoc ,  Colonia Renacimiento, Cuauhtémoc",13311,133,1,1,1,1.0, Cuauhtémoc , Colonia Renacimiento,Cuauhtémoc
32000," Benjamin Franklin,  Hipódromo Condesa, Cuauhtémoc",9221,2,1,2,2,3.0, Benjamin Franklin, Hipódromo Condesa,Cuauhtémoc
60000," Lago Zurich 219,  Polanco, Miguel Hidalgo",11822,118,2,2,2,2.0, Lago Zurich 219, Polanco,Miguel Hidalgo
44000," Bosque de Tabachines 230,  Bosques de las Lomas, Cuajimalpa de Morelos",26434,3,4,3,3,1.0, Bosque de Tabachines 230, Bosques de las Lomas,Cuajimalpa de Morelos
15500," Avenida Mexico ,  Manzanastitla, Cuajimalpa de Morelos",6511,65,1,1,1,1.0, Avenida Mexico , Manzanastitla,Cuajimalpa de Morelos
3000000," Blvd. Pdte. Manuel Ávila Camacho 571,  Polanco, Miguel Hidalgo",6011,60,1,1,1,1.0, Blvd. Pdte. Manuel Ávila Camacho 571, Polanco,Miguel Hidalgo
45000," Hipodromo Condesa ,  Hipódromo Condesa, Cuauhtémoc",8522,85,2,2,2,2.0, Hipodromo Condesa , Hipódromo Condesa,Cuauhtémoc
5000," Palmas Park,  Lomas de Chapultepec, Miguel Hidalgo",21722,217,2,2,2,2.0, Palmas Park, Lomas de Chapultepec,Miguel Hidalgo
40000," Renacimiento ,  Colonia Renacimiento, Cuauhtémoc",12921,129,2,1,1,2.0, Renacimiento , Colonia Renacimiento,Cuauhtémoc
35000," Maimónides,  Polanco, Miguel Hidalgo",13821,2,1,2,2,45.0, Maimónides, Polanco,Miguel Hidalgo
28000," Rento Departamento Santa Fe. Residencial We,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",10623,106,2,3,3,2.0, Rento Departamento Santa Fe. Residencial We, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
13200," Jose F gutierrez 120,  Ángel Zimbron, Azcapotzalco",6421,64,2,1,1,2.0, Jose F gutierrez 120, Ángel Zimbron,Azcapotzalco
18500," Carretera Mexico-toluca,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",8522,85,2,2,2,2.0, Carretera Mexico-toluca, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
25000," Granja Paseo de los Tamarindos,  Granjas Palo Alto, Cuajimalpa de Morelos",12023,120,2,3,3,2.0, Granja Paseo de los Tamarindos, Granjas Palo Alto,Cuajimalpa de Morelos
6000," Departamento Renta Ruben Dario,  Polanco, Miguel Hidalgo",19322,193,2,2,2,2.0, Departamento Renta Ruben Dario, Polanco,Miguel Hidalgo
25000," Calle Paseo de los Tamarindos 210,  Granjas Palo Alto, Cuajimalpa de Morelos",12023,120,2,3,3,2.0, Calle Paseo de los Tamarindos 210, Granjas Palo Alto,Cuajimalpa de Morelos
30000," Avenida Río San Joaquin ,  Ampliación Granada, Miguel Hidalgo",6511,65,1,1,1,1.0, Avenida Río San Joaquin , Ampliación Granada,Miguel Hidalgo
15509,"  Avenida México ,  Manzanastitla, Cuajimalpa de Morelos",6511,65,1,1,1,1.0,  Avenida México , Manzanastitla,Cuajimalpa de Morelos
13900000," Miguel de Cervantes Saavedra 255,  Granada, Miguel Hidalgo",17032,170,3,2,2,3.0, Miguel de Cervantes Saavedra 255, Granada,Miguel Hidalgo
7100000," carretera Mexico Toluca  3703,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",15422,154,3,2,2,2.0, carretera Mexico Toluca  3703, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
75000," PASEO DE LOS LAURELES 404,  Bosques de las Lomas, Cuajimalpa de Morelos",43043,4,3,4,4,1.0, PASEO DE LOS LAURELES 404, Bosques de las Lomas,Cuajimalpa de Morelos
40014," Cuauhtémoc ,  Colonia Renacimiento, Cuauhtémoc",12921,129,2,1,1,2.0, Cuauhtémoc , Colonia Renacimiento,Cuauhtémoc
39000," Cuajimalpa ,  Cuajimalpa, Cuajimalpa de Morelos",10322,103,2,2,2,2.0, Cuajimalpa , Cuajimalpa,Cuajimalpa de Morelos
25500," Nuevo Polanco,  Anáhuac I Sección, Miguel Hidalgo",5511,55,1,1,1,1.0, Nuevo Polanco, Anáhuac I Sección,Miguel Hidalgo
26000," Exhacienda coapa ,  Ex-Hacienda Coapa, Coyoacán",10033,100,2,3,3,3.0, Exhacienda coapa , Ex-Hacienda Coapa,Coyoacán
25000," Rio Amazonas #82, Renacimiento, Cuauhtémoc,  Cuauhtémoc, Cuauhtémoc",6011,1,1,1,1,, Rio Amazonas #82,Renacimiento,Cuauhtémoc
13500," CENTRAL TELEFONICA 38,  Ampliación Sinatel, Iztapalapa",8621,86,1,1,1,2.0, CENTRAL TELEFONICA 38, Ampliación Sinatel,Iztapalapa
55000," Alejandro Dumas 207,  Polanco, Miguel Hidalgo",15022,150,2,2,2,2.0, Alejandro Dumas 207, Polanco,Miguel Hidalgo
60000," LAGO ZURICH,  Granada, Miguel Hidalgo",13332,133,2,2,2,3.0, LAGO ZURICH, Granada,Miguel Hidalgo
17900," Pestalozzi 27,  Piedad Narvarte, Benito Juárez",8821,2,1,2,2,2.0, Pestalozzi 27, Piedad Narvarte,Benito Juárez
19500," C. 7 Ote. 20,  Isidro Fabela, Tlalpan",10022,100,2,2,2,2.0, C. 7 Ote. 20, Isidro Fabela,Tlalpan
25000," Av. Río Mixcoac 24,  Actipan, Benito Juárez",8722,2,2,2,2,10.0, Av. Río Mixcoac 24, Actipan,Benito Juárez
19000," AV MEXICO,  Cuajimalpa, Cuajimalpa de Morelos",9022,90,2,2,2,2.0, AV MEXICO, Cuajimalpa,Cuajimalpa de Morelos
39000," Gabriel Mancera,  Del Valle Centro, Benito Juárez",18622,2,2,2,2,1.0, Gabriel Mancera, Del Valle Centro,Benito Juárez
24500," Cuauhtémoc,  Cuauhtémoc, Cuauhtémoc",7521,75,2,1,1,2.0, Cuauhtémoc, Cuauhtémoc,Cuauhtémoc
14000," ARAGON,  Álamos, Benito Juárez",5521,55,1,1,1,2.0, ARAGON, Álamos,Benito Juárez
24000," alabama 201,  Nápoles, Benito Juárez",6822,68,2,2,2,2.0, alabama 201, Nápoles,Benito Juárez
42000," AV EJERCITO NACIONAL 769,  Polanco, Miguel Hidalgo",11522,115,2,2,2,2.0, AV EJERCITO NACIONAL 769, Polanco,Miguel Hidalgo
22000," SAN FRANCISCO ,  Del Valle Centro, Benito Juárez",10822,108,2,2,2,2.0, SAN FRANCISCO , Del Valle Centro,Benito Juárez
26000," bahia de Santa Bárbara 130,  Verónica Anzures, Miguel Hidalgo",10632,106,2,2,2,3.0, bahia de Santa Bárbara 130, Verónica Anzures,Miguel Hidalgo
24000," Amores 333,  Del Valle Centro, Benito Juárez",9021,90,2,1,1,2.0, Amores 333, Del Valle Centro,Benito Juárez
23000," secretaría de Marina,  Lomas del Chamizal, Cuajimalpa de Morelos",6922,2,2,2,2,1.0, secretaría de Marina, Lomas del Chamizal,Cuajimalpa de Morelos
73000," Ámsterdam,,  Condesa, Cuauhtémoc",20522,205,2,2,2,2.0," Ámsterdam,", Condesa,Cuauhtémoc
10500000," Vasco de Quiroga 4800,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",17022,2,2,2,2,1.0, Vasco de Quiroga 4800, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
30000," Lago Neuchatel 10,  Ampliación Granada, Miguel Hidalgo",12532,2,2,3,3,18.0, Lago Neuchatel 10, Ampliación Granada,Miguel Hidalgo
12500," Calle Canela 21 Col. Granjas México,  Granjas México, Iztacalco",5621,56,1,1,1,2.0, Calle Canela 21 Col. Granjas México, Granjas México,Iztacalco
29000," Avenida Popocatepetl 474,  Xoco, Benito Juárez",11022,110,2,2,2,2.0, Avenida Popocatepetl 474, Xoco,Benito Juárez
9800000," Julian Adame,  Lomas de Vista Hermosa, Cuajimalpa de Morelos",15732,157,3,2,2,3.0, Julian Adame, Lomas de Vista Hermosa,Cuajimalpa de Morelos
39500," Juan Racine,  Polanco, Miguel Hidalgo",21031,210,2,1,1,3.0, Juan Racine, Polanco,Miguel Hidalgo
74000," PRESA FALCON,  Granada, Miguel Hidalgo",15232,152,2,2,2,3.0, PRESA FALCON, Granada,Miguel Hidalgo
23000," El Mirador 18,  Fuentes de Tepepan, Tlalpan",11822,3,2,2,2,7.0, El Mirador 18, Fuentes de Tepepan,Tlalpan
700006," Bradley,  Anzures, Miguel Hidalgo",23034,3,4,3,3,1.0, Bradley, Anzures,Miguel Hidalgo
23000," Bahía Perúla ,  Verónica Anzures, Miguel Hidalgo",8921,3,1,2,2,10.0, Bahía Perúla , Verónica Anzures,Miguel Hidalgo
35000," Lago Zurich 243,  Ampliación Granada, Miguel Hidalgo",7222,72,2,2,2,2.0, Lago Zurich 243, Ampliación Granada,Miguel Hidalgo
16000," Unión ,  Escandón II Sección, Miguel Hidalgo",7521,75,2,1,1,2.0, Unión , Escandón II Sección,Miguel Hidalgo
13500," Calle San Borja 1767,  Independencia, Benito Juárez",6221,1,1,2,2,7.0, Calle San Borja 1767, Independencia,Benito Juárez
26000," AVE. MÉXICO 359,  Manzanastitla, Cuajimalpa de Morelos",12342,2,2,4,4,5.0, AVE. MÉXICO 359, Manzanastitla,Cuajimalpa de Morelos
13000," Calzada Legaria ,  Legaria, Miguel Hidalgo",6221,62,1,1,1,2.0, Calzada Legaria , Legaria,Miguel Hidalgo
16500," FUENTES DEL AMOR,  Fuentes del Pedregal, Tlalpan",10011,1,1,1,1,25.0, FUENTES DEL AMOR, Fuentes del Pedregal,Tlalpan
220000," Av Moliere 446,  Granada, Miguel Hidalgo",48342,483,5,2,2,4.0, Av Moliere 446, Granada,Miguel Hidalgo
75000," Departamento Amueblado y Equipado en Neuchatel,  Ampliación Granada, Miguel Hidalgo",14433,144,3,3,3,3.0, Departamento Amueblado y Equipado en Neuchatel, Ampliación Granada,Miguel Hidalgo
50000," Chicontepec 57, Hipódromo Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico,  Hipódromo Condesa, Cuauhtémoc",7721,77,2,1,1,2.0, Chicontepec 57,Hipódromo Condesa,Cuauhtémoc
34000," Dakota 95,  Nápoles, Benito Juárez",18732,2,2,3,3,1.0, Dakota 95, Nápoles,Benito Juárez
33500," General Antonio de León 18,  San Miguel Chapultepec, Miguel Hidalgo",14522,145,2,2,2,2.0, General Antonio de León 18, San Miguel Chapultepec,Miguel Hidalgo
13500," CALZADA DE GUADALUPE 120,  Jardines Villa Coapa, Tlalpan",7221,2,1,2,2,25.0, CALZADA DE GUADALUPE 120, Jardines Villa Coapa,Tlalpan
17000," Viaducto Pesidente Miguel Alemán ,  Álamos, Benito Juárez",6521,65,2,1,1,2.0, Viaducto Pesidente Miguel Alemán , Álamos,Benito Juárez
10790000," Av. Santa Fe 546,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",11222,2,2,2,2,1.0, Av. Santa Fe 546, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
29400," Privada de Tamarindos 29,  Bosques de las Lomas, Cuajimalpa de Morelos",16021,160,1,1,1,2.0, Privada de Tamarindos 29, Bosques de las Lomas,Cuajimalpa de Morelos
23000," Bartolache 1140 b,  Del Valle Centro, Benito Juárez",9021,90,2,1,1,2.0, Bartolache 1140 b, Del Valle Centro,Benito Juárez
30000," Sendero Santa Fe,  El Yaqui, Cuajimalpa de Morelos",14432,144,2,2,2,3.0, Sendero Santa Fe, El Yaqui,Cuajimalpa de Morelos
4500000," BLVD GRAN SUR 5550,  Pedregal de Carrasco, Coyoacán",8522,85,2,2,2,2.0, BLVD GRAN SUR 5550, Pedregal de Carrasco,Coyoacán
45000," Thiers,  Anzures, Miguel Hidalgo",12523,125,2,3,3,2.0, Thiers, Anzures,Miguel Hidalgo
130000," Av. de los Poetas,  San Mateo Tlaltenango, Cuajimalpa de Morelos",38046,380,4,6,6,4.0, Av. de los Poetas, San Mateo Tlaltenango,Cuajimalpa de Morelos
38000," Parques Plaza,  Anáhuac I Sección, Miguel Hidalgo",12022,120,2,2,2,2.0, Parques Plaza, Anáhuac I Sección,Miguel Hidalgo
29000," Carr. México-Toluca 5500,  Ampliación el Yaqui, Cuajimalpa de Morelos",16432,164,3,2,2,3.0, Carr. México-Toluca 5500, Ampliación el Yaqui,Cuajimalpa de Morelos
27000," Av Popocatépetl 474,  Xoco, Benito Juárez",10032,100,2,2,2,3.0, Av Popocatépetl 474, Xoco,Benito Juárez
20000," Lago Alberto 320,  Anáhuac II Sección, Miguel Hidalgo",8011,1,1,1,1,11.0, Lago Alberto 320, Anáhuac II Sección,Miguel Hidalgo
26000," Rio Tiber 56,  Cuauhtémoc, Cuauhtémoc",9021,90,1,1,1,2.0, Rio Tiber 56, Cuauhtémoc,Cuauhtémoc
40000," col cuauhtemoc,  Cuauhtémoc, Cuauhtémoc",13521,3,1,2,2,15.0, col cuauhtemoc, Cuauhtémoc,Cuauhtémoc
26000," Carretera México-Toluca 5900,  Contadero, Cuajimalpa de Morelos",9822,98,2,2,2,2.0, Carretera México-Toluca 5900, Contadero,Cuajimalpa de Morelos
60000," Lago Neuchatel 55,  Ampliación Granada, Miguel Hidalgo",12032,120,2,2,2,3.0, Lago Neuchatel 55, Ampliación Granada,Miguel Hidalgo
100000," Ciceron,  Polanco, Miguel Hidalgo",20033,3,3,3,3,1.0, Ciceron, Polanco,Miguel Hidalgo
15000," Cerrada Antonio noemi ,  Lomas de Memetla, Cuajimalpa de Morelos",11112,1,2,1,1,4.0, Cerrada Antonio noemi , Lomas de Memetla,Cuajimalpa de Morelos
9000," Oriente 32 3569,  Merced Balbuena, Venustiano Carranza",5021,1,1,2,2,8.0, Oriente 32 3569, Merced Balbuena,Venustiano Carranza
66000," Platón 453,  Polanco, Miguel Hidalgo",13822,138,2,2,2,2.0, Platón 453, Polanco,Miguel Hidalgo
110000," Av. de los Poetas 100,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",33033,3,3,3,3,1.0, Av. de los Poetas 100, Santa Fe Cuajimalpa,Cuajimalpa de Morelos
9300000," secretaria de marina,  Lomas del Chamizal, Cuajimalpa de Morelos",15022,150,2,2,2,2.0, secretaria de marina, Lomas del Chamizal,Cuajimalpa de Morelos
85000," MONTE KAMERUN,  Lomas de Chapultepec, Miguel Hidalgo",24032,240,3,2,2,3.0, MONTE KAMERUN, Lomas de Chapultepec,Miguel Hidalgo
24990," Rio Mixcoac al 300,  Acacias, Benito Juárez",12632,126,2,2,2,3.0, Rio Mixcoac al 300, Acacias,Benito Juárez
16580000," HOMERO 510 PH4,  Anáhuac I Sección, Miguel Hidalgo",27922,279,3,2,2,2.0, HOMERO 510 PH4, Anáhuac I Sección,Miguel Hidalgo
