MUNICIPIO,COLONIA,indice,indice_texto
AZCAPOTZALCO,SAN RAFAEL,0.90674234444,Alto
AZCAPOTZALCO,SAN SALVADOR XOCHIMANCA,0.86048746667,Medio
AZCAPOTZALCO,SAN SEBASTIAN,0.84316194,Medio
AZCAPOTZALCO,SANTA APOLONIA (BARR),0.84703812222,Medio
AZCAPOTZALCO,SANTA BARBARA (PBLO),0.81361589474,Bajo
AZCAPOTZALCO,SANTA CATARINA (PBLO),0.8545383,Medio
AZCAPOTZALCO,SANTA CRUZ ACAYUCAN (PBLO),0.87856888889,Medio
AZCAPOTZALCO,SANTA CRUZ DE LAS SALINAS,0.76634265,Muy Bajo
AZCAPOTZALCO,SANTA INES,0.8144993,Bajo
AZCAPOTZALCO,SANTA LUCIA (BARR),0.8781288,Medio
AZCAPOTZALCO,SANTA MARIA MALINALCO (PBLO),0.88517613125,Alto
AZCAPOTZALCO,SANTIAGO AHUIZOTLA (PBLO),0.83670982419,Medio
AZCAPOTZALCO,SANTO DOMINGO (PBLO),0.88949329412,Alto
AZCAPOTZALCO,SANTO TOMAS,0.8829726,Alto
AZCAPOTZALCO,SECTOR NAVAL,0.91317096667,Alto
AZCAPOTZALCO,SINDICATO MEXICANO DE ELECTRICISTAS,0.93687080417, Muy Alto
AZCAPOTZALCO,TEZOZOMOC,0.8841625129,Alto
AZCAPOTZALCO,TIERRA NUEVA,0.83743082609,Medio
AZCAPOTZALCO,TLATILCO,0.87912616765,Medio
AZCAPOTZALCO,TLATILCO (U HAB),0.88158823913,Medio
AZCAPOTZALCO,TRABAJADORES DEL HIERRO,0.90191341765,Alto
AZCAPOTZALCO,UN HOGAR PARA CADA TRABAJADOR,0.89085833333,Alto
AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS,0.8709261,Medio
AZCAPOTZALCO,VILLAS AZCAPOTZALCO (U HAB),0.9411123, Muy Alto
AZCAPOTZALCO,XOCHINAHUAC (U HAB),0.92199320145,Alto
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) I,0.81529645833,Bajo
AZCAPOTZALCO,SAN PEDRO XALPA (AMPL) II,0.79370818158,Bajo
AZCAPOTZALCO,PRO HOGAR I,0.87548303235,Medio
AZCAPOTZALCO,PRO HOGAR II,0.85476940541,Medio
COYOACAN,AJUSCO HUAYAMILPAS,0.81837328667,Bajo
COYOACAN,ALTILLO (COND ALTILLO UNIVERSIDAD),0.9594630931, Muy Alto
COYOACAN,AMPLIACION CANDELARIA,0.86525342857,Medio
COYOACAN,ATLANTIDA,0.86924168461,Medio
COYOACAN,AVANTE,0.93735926216, Muy Alto
COYOACAN,BOSQUES DE TETLAMEYA,0.92254288,Alto
COYOACAN,CAFETALES I (RDCIAL),0.94533053333, Muy Alto
COYOACAN,CAFETALES II (RDCIAL),0.95653532857, Muy Alto
COYOACAN,CAMPESTRE CHURUBUSCO,0.94014015248, Muy Alto
COYOACAN,CAMPESTRE COYOACAN (FRACC),0.93658835, Muy Alto
COYOACAN,CANAL NACIONAL (U HAB),0.85573766842,Medio
COYOACAN,CANAL NACIONAL 260 (U HAB),0.86812066552,Medio
COYOACAN,CANTIL DEL PEDREGAL,0.932519525,Alto
COYOACAN,CARMEN SERDAN,0.77740987536,Muy Bajo
COYOACAN,CENTRO URBANO TLALPAN (U HAB),0.92054757778,Alto
COYOACAN,CHIMALISTAC,0.9647507, Muy Alto
COYOACAN,CIUDAD JARDIN,0.94024295278, Muy Alto
COYOACAN,CIUDAD UNIVERSITARIA,0.862828,Medio
COYOACAN,COPILCO EL ALTO,0.84906274737,Medio
COYOACAN,COPILCO EL BAJO,0.94009389706, Muy Alto
COYOACAN,COPILCO UNIVERSIDAD,0.94817853, Muy Alto
COYOACAN,COUNTRY CLUB,0.94259233, Muy Alto
COYOACAN,CROC CULHUACAN SECC 6 (U HAB),0.90881361539,Alto
COYOACAN,CTM IX CULHUACAN ZONA 29-30 (U HAB),0.92077997647,Alto
COYOACAN,CTM IXA CULHUACAN (U HAB),0.91475504,Alto
COYOACAN,CTM V CULHUACAN (U HAB),0.8999793194,Alto
COYOACAN,CTM VI CULHUACAN (U HAB),0.91876211908,Alto
COYOACAN,CTM VII CULHUACAN (U HAB),0.91471483768,Alto
COYOACAN,CTM VIIA CULHUACAN (U HAB),0.90908882143,Alto
COYOACAN,CTM VIII CULHUACAN (U HAB),0.90852944253,Alto
COYOACAN,CTM X CULHUACAN (U HAB),0.89925731915,Alto
COYOACAN,CUADRANTE DE SAN FRANCISCO,0.92628482857,Alto
COYOACAN,DE LA CANDELARIA (PBLO),0.8794288,Medio
COYOACAN,DEL CARMEN,0.9403674475, Muy Alto
COYOACAN,DEL NI├æO JESUS (BARR),0.93376146667, Muy Alto
COYOACAN,EDUCACION,0.94775000462, Muy Alto
COYOACAN,EX EJIDO SAN FRANCISCO CULHUACAN I,0.92112493333,Alto
COYOACAN,EL CARACOL,0.85711469545,Medio
COYOACAN,EL CENTINELA,0.95287139565, Muy Alto
COYOACAN,EL MIRADOR,0.96099681364, Muy Alto
COYOACAN,EL PARQUE DE COYOACAN (FRACC),0.9527208625, Muy Alto
COYOACAN,EL RELOJ,0.92819062979,Alto
COYOACAN,EL ROSEDAL I,0.93617589412, Muy Alto
COYOACAN,EL VERGEL DE COYOACAN ( INFONAVIT EL HUESO) (U HAB),0.93484505, Muy Alto
COYOACAN,EMILIANO ZAPATA,0.8566407,Medio
COYOACAN,EMILIANO ZAPATA (U HAB),0.828569246,Bajo
COYOACAN,ESPARTACO,0.93619539565, Muy Alto
COYOACAN,EX HACIENDA COAPA,0.93104536154,Alto
COYOACAN,HACIENDAS DE COYOACAN (FRACC),0.94568904, Muy Alto
COYOACAN,HERMOSILLO,0.914981875,Alto
COYOACAN,IMAN,0.93066325,Alto
COYOACAN,IMAN 580 (U HAB),0.94406088621, Muy Alto
COYOACAN,INFONAVIT CULHUACAN ZONA 1 (U HAB),0.91506405,Alto
COYOACAN,INFONAVIT CULHUACAN ZONA 2 (U HAB),0.90492180588,Alto
COYOACAN,INFONAVIT CULHUACAN ZONA 3 (U HAB),0.922012975,Alto
COYOACAN,INSURGENTES CUICUILCO,0.9685228, Muy Alto
COYOACAN,INTEGRACION LATINOAMERICANA (U HAB),0.95766855926, Muy Alto
COYOACAN,JARDINES DE COYOACAN (FRACC),0.96096290526, Muy Alto
COYOACAN,JARDINES DEL PEDREGAL,0.96595030667, Muy Alto
COYOACAN,JOYAS DEL PEDREGAL (FRACC),0.9511698, Muy Alto
COYOACAN,LA CANTERA (U HAB),0.9396454619, Muy Alto
COYOACAN,LA CONCEPCION (BARR),0.95858768333, Muy Alto
COYOACAN,LA MAGDALENA CULHUACAN (BARR),0.87245984545,Medio
COYOACAN,LA VIRGEN 1170 (U HAB),0.84612959655,Medio
COYOACAN,LAS CABA├æAS,0.7322071,Muy Bajo
COYOACAN,LAS CAMPANAS,0.96456851111, Muy Alto
COYOACAN,LAS TROJES COAPA (U HAB),0.866877016,Medio
COYOACAN,LOS CEDROS (FRACC),0.96484936667, Muy Alto
COYOACAN,LOS CIPRESES,0.95559753, Muy Alto
COYOACAN,LOS GIRASOLES I,0.9468305, Muy Alto
COYOACAN,LOS GIRASOLES II,0.95409282727, Muy Alto
COYOACAN,LOS GIRASOLES III,0.94623129565, Muy Alto
COYOACAN,LOS OLIVOS (FRACC),0.93620426, Muy Alto
COYOACAN,LOS OLIVOS (U HAB),0.9607524125, Muy Alto
COYOACAN,LOS REYES (PBLO),0.93314869818, Muy Alto
COYOACAN,LOS ROBLES (FRACC),0.96581869524, Muy Alto
COYOACAN,LOS SAUCES (FRACC),0.94758854546, Muy Alto
COYOACAN,MEDIA LUNA,0.908842625,Alto
COYOACAN,NUEVA DIAZ ORDAZ,0.79102627857,Bajo
COYOACAN,OLIMPICA,0.96529258571, Muy Alto
COYOACAN,OXTOPULCO UNIVERSIDAD,0.95164158333, Muy Alto
COYOACAN,PARQUE SAN ANDRES,0.93976985676, Muy Alto
COYOACAN,PEDREGAL DE LA ZORRA,0.85672408889,Medio
COYOACAN,PEDREGAL DE SAN ANGEL (AMPL),0.97161389286, Muy Alto
COYOACAN,PEDREGAL DE SAN FRANCISCO (FRACC),0.95153906, Muy Alto
COYOACAN,PEDREGAL DEL MAUREL,0.94673646809, Muy Alto
COYOACAN,PETROLERA TAXQUE├æA,0.94597340833, Muy Alto
COYOACAN,PILOTO CULHUACAN (U HAB),0.889993875,Alto
COYOACAN,PRADO CHURUBUSCO,0.94113376323, Muy Alto
COYOACAN,PRADOS DE COYOACAN,0.95498718696, Muy Alto
COYOACAN,PRESIDENTES EJIDALES PRIMERA SECCION,0.9409336625, Muy Alto
COYOACAN,RANCHO EL ROSARIO,0.9500828, Muy Alto
COYOACAN,ROMERO DE TERREROS,0.94371671818, Muy Alto
COYOACAN,ROMERO DE TERREROS (FRACC),0.96534525556, Muy Alto
COYOACAN,SAN DIEGO CHURUBUSCO,0.8817438,Medio
COYOACAN,SAN FRANCISCO CULHUACAN (PBLO),0.83565417959,Medio
COYOACAN,AMPLIACION SAN FRANCISCO CULHUACAN (EJ),0.89700768857,Alto
COYOACAN,SAN LUCAS (BARR),0.92283773158,Alto
COYOACAN,SAN MATEO (BARR),0.9041934,Alto
COYOACAN,SAN PABLO TEPETLAPA (PBLO),0.881609025,Medio
COYOACAN,SANTA CATARINA (BARR),0.94847620278, Muy Alto
COYOACAN,SANTA CECILIA,0.95498125185, Muy Alto
COYOACAN,SANTA MARTHA DEL SUR,0.77779147917,Muy Bajo
COYOACAN,SANTA URSULA COAPA (PBLO),0.89523551017,Alto
COYOACAN,SANTA URSULA COYOACAN,0.96028319677, Muy Alto
COYOACAN,STUNAM CULHUACAN (U HAB),0.94337565962, Muy Alto
COYOACAN,VIEJO EJIDO SANTA URSULA COAPA,0.866877016,Medio
COYOACAN,VILLA COYOACAN,0.93039129643,Alto
COYOACAN,VILLA PANAMERICANA 1ERA. SECCI├ôN (U HAB),0.92734797317,Alto
COYOACAN,VILLA PANAMERICANA 2DA. SECCI├ôN (U HAB),0.92140750323,Alto
COYOACAN,VILLA PANAMERICANA 3ERA. SECCI├ôN (U HAB),0.91519188205,Alto
COYOACAN,VILLA PANAMERICANA 4TA. SECCI├ôN (U HAB),0.94447849394, Muy Alto
COYOACAN,VILLA PANAMERICANA 5TA. SECCI├ôN (U HAB),0.94748287556, Muy Alto
COYOACAN,VILLA PANAMERICANA 6TA. SECCI├ôN (U HAB),0.95417095, Muy Alto
COYOACAN,VILLA PANAMERICANA 7MA. SECCI├ôN (U HAB),0.93837707879, Muy Alto
COYOACAN,VILLA QUIETUD (FRACC),0.95799489167, Muy Alto
COYOACAN,VILLAS DEL PEDREGAL (U HAB),0.96016452, Muy Alto
COYOACAN,VISTAS DEL MAUREL (U HAB),0.93565516471, Muy Alto
COYOACAN,XOTEPINGO,0.94912883846, Muy Alto
COYOACAN,ADOLFO RUIZ CORTINES I,0.84799033714,Medio
COYOACAN,ADOLFO RUIZ CORTINES II,0.82294992222,Bajo
COYOACAN,AJUSCO I,0.82999684222,Bajo
COYOACAN,AJUSCO II,0.81706472069,Bajo
COYOACAN,AJUSCO III,0.84723487586,Medio
COYOACAN,ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB),0.94337545, Muy Alto
COYOACAN,ALIANZA POPULAR REVOLUCIONARIA PONIENTE (U HAB),0.9490579069, Muy Alto
COYOACAN,PASEOS DE TAXQUE├æA I,0.94054780938, Muy Alto
COYOACAN,PASEOS DE TAXQUE├æA II,0.94898491282, Muy Alto
COYOACAN,PEDREGAL DE SANTA URSULA I,0.83485784091,Medio
COYOACAN,PEDREGAL DE SANTA URSULA II,0.83267301111,Medio
COYOACAN,PEDREGAL DE SANTA URSULA III,0.81331815897,Bajo
COYOACAN,PEDREGAL DE SANTA URSULA IV,0.82435631667,Bajo
COYOACAN,PEDREGAL DE STO DOMINGO I,0.83191831034,Bajo
COYOACAN,PEDREGAL DE STO DOMINGO II,0.85494658511,Medio
COYOACAN,PEDREGAL DE STO DOMINGO III,0.826277268,Bajo
COYOACAN,PEDREGAL DE STO DOMINGO IV,0.7892042,Bajo
COYOACAN,PEDREGAL DE STO DOMINGO V,0.77495572414,Muy Bajo
COYOACAN,PEDREGAL DE STO DOMINGO VI,0.79084336486,Bajo
COYOACAN,PEDREGAL DE STO DOMINGO VII,0.76074923929,Muy Bajo
COYOACAN,PEDREGAL DE STO DOMINGO VIII,0.794993425,Bajo
COYOACAN,PEDREGAL DE STO DOMINGO IX,0.79803071111,Bajo
COYOACAN,ALIANZA POPULAR REVOLUCIONARIA ORIENTE (U HAB),0.95247879849, Muy Alto
COYOACAN,EL ROSEDAL II,0.94642137143, Muy Alto
COYOACAN,EX EJIDO DE CHURUBUSCO,0.90042946667,Alto
COYOACAN,MONTE DE PIEDAD,0.93997811818, Muy Alto
COYOACAN,PRESIDENTES EJIDALES SEGUNDA SECCION,0.92104875,Alto
COYOACAN,TAXQUE├æA,0.95589345, Muy Alto
COYOACAN,ALTILLO (COND ALTILLO ACASULCO),0.96486005, Muy Alto
COYOACAN,CENTRO URBANO (U HAB),0.93232043684,Alto
COYOACAN,CTM IX CULHUACAN ZONA 32-33 (U HAB),0.89345448,Alto
COYOACAN,EX EJIDO SAN FRANCISCO CULHUACAN II,0.92157722105,Alto
COYOACAN,EX EJIDO SAN FRANCISCO CULHUACAN III,0.91525048667,Alto
COYOACAN,ROMERO DE TERREROS (COND),0.94718950667, Muy Alto
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
CUAJIMALPA DE MORELOS,ABDIAS GARCIA SOTO,0.86733576667,Medio
CUAJIMALPA DE MORELOS,ADOLFO LOPEZ MATEOS,0.90922005,Alto
CUAJIMALPA DE MORELOS,AGUA BENDITA,0.75837724545,Muy Bajo
CUAJIMALPA DE MORELOS,AHUATENCO,0.7283618,Muy Bajo
CUAJIMALPA DE MORELOS,AMADO NERVO,0.7997401,Bajo
CUAJIMALPA DE MORELOS,BOSQUES DE LAS LOMAS,0.91239280465,Alto
CUAJIMALPA DE MORELOS,COLA DE PATO,0.76221771539,Muy Bajo
CUAJIMALPA DE MORELOS,CRUZ BLANCA,0.79535726667,Bajo
CUAJIMALPA DE MORELOS,CORREDOR SANTA FE,0.96492692037, Muy Alto
CUAJIMALPA DE MORELOS,EBANO (U HAB),0.79318622308,Bajo
CUAJIMALPA DE MORELOS,EL CONTADERO,0.869348164,Medio
CUAJIMALPA DE MORELOS,EL MOLINITO,0.8754632,Medio
CUAJIMALPA DE MORELOS,EL MOLINO,0.906251125,Alto
CUAJIMALPA DE MORELOS,EL TIANGUILLO,0.8503168,Medio
CUAJIMALPA DE MORELOS,EL YAQUI,0.94430897273, Muy Alto
CUAJIMALPA DE MORELOS,JARDINES DE LA PALMA (HUIZACHITO),0.89611879048,Alto
CUAJIMALPA DE MORELOS,JESUS DEL MONTE,0.92816723,Alto
CUAJIMALPA DE MORELOS,LA PILA,0.78676756842,Bajo
CUAJIMALPA DE MORELOS,LA VENTA,0.800317275,Bajo
CUAJIMALPA DE MORELOS,LAS LAJAS,0.7869631,Bajo
CUAJIMALPA DE MORELOS,TEXCALCO,0.7590365,Muy Bajo
CUAJIMALPA DE MORELOS,LAS TINAJAS,0.81553325556,Bajo
CUAJIMALPA DE MORELOS,LOMA DEL PADRE,0.78801465833,Bajo
CUAJIMALPA DE MORELOS,LOMAS DE MEMETLA,0.86683817857,Medio
CUAJIMALPA DE MORELOS,LOMAS DE VISTA HERMOSA,0.889750965,Alto
CUAJIMALPA DE MORELOS,LOMAS DEL CHAMIZAL,0.87810212973,Medio
CUAJIMALPA DE MORELOS,MANZANASTITLA,0.91319211035,Alto
CUAJIMALPA DE MORELOS,MEMETLA,0.84104593333,Medio
CUAJIMALPA DE MORELOS,NAVIDAD (GRANJAS DE NAVIDAD),0.82326876939,Bajo
CUAJIMALPA DE MORELOS,PALO ALTO (GRANJAS),0.77085572609,Muy Bajo
CUAJIMALPA DE MORELOS,LA RETAMA,0.82326876939,Bajo
CUAJIMALPA DE MORELOS,SAN LORENZO ACOPILCO (PBLO),0.81878552258,Bajo
CUAJIMALPA DE MORELOS,SAN MATEO TLALTENANGO (PBLO),0.79670643085,Bajo
CUAJIMALPA DE MORELOS,SAN PABLO CHIMALPA (PBLO),0.77831074565,Bajo
CUAJIMALPA DE MORELOS,TEPETONGO,0.88875841212,Alto
CUAJIMALPA DE MORELOS,XALPA,0.80682607059,Bajo
CUAJIMALPA DE MORELOS,ZENTLAPATL,0.80024013571,Bajo
CUAJIMALPA DE MORELOS,1o DE MAYO,0.74232983333,Muy Bajo
CUAJIMALPA DE MORELOS,PORTAL DEL SOL,0.92396888478,Alto
CUAJIMALPA DE MORELOS,SAN PEDRO CUAJIMALPA (PBLO),0.85305235965,Medio
CUAJIMALPA DE MORELOS,SAN JOSE DE LOS CEDROS I,0.82315461429,Bajo
