precio,ubicacion,tamanio,metros_cuadrados,num_baños,num_estacionamientos,num_recamaras,antiguedad
100000," Avenida de Los Poetas,  Santa Fe, Alvaro Obregón",31832,318,3,2,2,3
46500," Alfonso Reyes,  Hipódromo Condesa, Cuauhtémoc",7021,70,2,1,1,2
27000," Renta Departamento High Park Santa FE,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",7012,70,2,2,2,1
104460,"  Aristóteles 103, Polanco, Polanco IV Secc, Miguel Hidalgo,  Polanco IV Sección, Polanco",15921,159,3,1,1,2
25000," TOWERS TORRE B,  Bosque Real, Huixquilucan",141222,141,2,2,2,22
65000," Avenida Club de Golf Lomas,  Lomas Country Club, Huixquilucan",70433,704,3,3,3,3
25500," CALLE Mocambo 515, Mocambo,  Playa de Oro, Boca del Río",19032,2,2,3,3,12
22000," Aqua Residencial,  Ciudad de Cancún, Cancún",13622,2,2,2,2,1
35000," Cumbres del Lago,  Fraccionamiento Cumbres del Lago, Querétaro",11032,110,2,2,2,3
18500," El Greco, Nonoalco, Benito Juárez, Ciudad de México, CDMX,  Santa María Nonoalco, Benito Juárez",6321,2,1,2,2,
39999,"  Calle Carlos Finlay,  Juárez, Cuauhtémoc",12821,2,1,2,2,1
30000," Renacimiento ,  Colonia Renacimiento, Cuauhtémoc",13311,133,1,1,1,1
15000," Francisco Del Paso Y Troncoso,  Granjas México, Iztacalco",6322,63,2,2,2,2
38500," Bosque Esmeralda,  Bosque Esmeralda, Atizapán de Zaragoza",23832,238,3,2,2,3
6850000," Boulevard Bosque Real Mz V Lt 9,  Bosque Real, Huixquilucan",20932,3,2,3,3,1
111290,"  Aristóteles 103, Polanco, Polanco IV Secc, Miguel Hidalgo,  Polanco IV Sección, Polanco",15921,159,3,1,1,2
40000," Vista Lomas,  Lomas Altas, Zapopan",12532,125,2,2,2,3
31000," Parque de Cádiz,  Parques de la Herradura, Huixquilucan",15033,150,4,3,3,3
31000," Parque de Cádiz,  Parques de la Herradura, Huixquilucan",15033,150,4,3,3,3
45000," LAGO ZURICH 96,  Ampliación Granada, Miguel Hidalgo",10022,100,2,2,2,2
19000," Arbolada,  Arbolada Grand, Cancún",9522,95,2,2,2,2
45017," Calle Chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8522,85,2,2,2,2
29147," av adolfo lopez mateos los alpes alvaro obregon,  Los Alpes, Alvaro Obregón",7822,78,2,2,2,2
44999," Calle Chicontepec,  Hipódromo Condesa, Cuauhtémoc",8522,2,2,2,2,2
22500," Av. Naciones Unidas 4994,  Jardines Universidad, Zapopan",7021,70,2,1,1,2
29000," Calzada San Simon,  San Simón Ticumac, Benito Juárez",6221,62,2,1,1,2
55000," Lago Zurich 272,  Ampliación Granada, Miguel Hidalgo",10522,2,2,2,2,1
12000," Cda. Coahuila,  Cuajimalpa, Cuajimalpa de Morelos",9822,98,2,2,2,2
9000," 2 Poniente al 900,  La Libertad, Puebla",7321,73,2,1,1,2
65000," Av. Patria,  Puerta de Hierro, Zapopan",17132,171,3,2,2,3
32000," LAGO ZURICH 219,  Ampliación Granada, Miguel Hidalgo",7011,70,1,1,1,1
27000," ,  San Jerónimo Aculco, Alvaro Obregón",7522,75,2,2,2,2
18000," Avenida Cuauhtémoc,  Roma Sur, Cuauhtémoc",7521,75,2,1,1,2
34500," Juan Racine,  Polanco, Miguel Hidalgo",18032,180,2,2,2,3
24000," Av. Popocatépetl 164,  Portales Norte, Benito Juárez",7822,2,2,2,2,
24000," Blvd. Manuel Avila Camacho 611,  Periodista, Miguel Hidalgo",5511,1,1,1,1,
36000," blvd bosque real 4400,  Bosque Real, Huixquilucan",26033,260,3,3,3,3
61290,"  Av. Homero 1433,Polanco, Polanco II Secc, Miguel Hidalgo,  Polanco II Sección, Polanco",13521,135,2,1,1,2
10000," Gorostiza,  Morelos, Cuauhtémoc",5421,54,1,1,1,2
53000," Lomas De Tecamachalco ,  Lomas de Tecamachalco, Huixquilucan",18032,180,2,2,2,3
26000," Londres,  Juárez, Cuauhtémoc",9021,90,2,1,1,2
65000," Rio Poo 40,  Cuauhtémoc, Cuauhtémoc",17632,2,2,3,3,
15500," Avenida Arteaga Y Salazar,  Contadero, Cuajimalpa de Morelos",7811,78,1,1,1,1
18500," Residencial Arbolada,  Ciudad de Cancún, Cancún",6921,2,1,2,2,5
30000," José María Olloqui,  Del Valle Sur, Benito Juárez",13032,130,3,2,2,3
17500," AV. DEL BAJIO,  San Juan de Ocotan, Zapopan",6611,1,1,1,1,
10000," Morelos,  Ex Hacienda Coapa, Tlalpan",5121,51,1,1,1,2
18000," Avenida Toluca,  Olivar de los Padres, Alvaro Obregón",12532,125,2,2,2,3
21736," Carretera México-toluca,  El Yaqui, Cuajimalpa de Morelos",12424,124,2,4,4,2
9400," Francisco Javier Clavijero,  Esperanza, Cuauhtémoc",4821,48,1,1,1,2
50000," Departamento en Renta Amueblado en Cabo Norte,  Cabo Norte, Mérida",21022,210,3,2,2,2
29000," Central Park North,  Bosque Real, Huixquilucan",15022,150,3,2,2,2
18300," Río Ussuri,  Cuauhtémoc, Cuauhtémoc",8221,82,2,1,1,2
7500," Peluqueros,  Morelos, Venustiano Carranza",5521,55,1,1,1,2
32000," Arkansas 48 Nápoles Benito Juárez 03810 Ciudad de México Cdmx México,  Nápoles, Benito Juárez",16031,160,3,1,1,3
12500," Calle Juárez,  San Álvaro, Azcapotzalco",4621,46,1,1,1,2
95000," Renta Pent House Lomas DE Vista Hermosa,  Lomas de Vista Hermosa, Cuajimalpa de Morelos",34046,340,4,6,6,4
8500," Calzada Vallejo,  Santa Rosa, Gustavo A. Madero",4821,48,1,1,1,2
87000," Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo",30023,300,2,3,3,2
22809," Carretera México-toluca,  El Yaqui, Cuajimalpa de Morelos",10822,108,2,2,2,2
120000," Presidente Masaryk 300,  Polanco, Miguel Hidalgo",30032,300,3,2,2,3
45000," Via Villa Florence,  Hacienda de las Palmas, Huixquilucan",47034,470,3,4,4,3
12000," Cda. Coahuila,  Cuajimalpa, Cuajimalpa de Morelos",9822,98,2,2,2,2
23000," San Alberto,  Pedregal de Santa Ursula, Coyoacán",17232,172,3,2,2,3
19000," Departamento en Renta  Frente al Parque Fundidora,  Acero, Monterrey",5711,57,1,1,1,1
32000," presa falcon 243,  Ampliación Granada, Miguel Hidalgo",8522,85,2,2,2,2
38000," Boulevard Valle Real 4000,  Valle Real, Zapopan",16632,166,3,2,2,3
28000," Avenida Popocatépetl ,  Portales Sur, Benito Juárez",8622,86,2,2,2,2
12000," Sur 143,  Ampliación Gabriel Ramos Millán, Iztacalco",12031,120,2,1,1,3
60000," LAGO ZURICH 219,  Ampliación Granada, Miguel Hidalgo",11822,118,3,2,2,2
40000," Calle 13 de Septiembre,  Escandón I Sección, Miguel Hidalgo",8532,85,3,2,2,3
55000," Presa Falcón 243 A1,  Ampliación Granada, Miguel Hidalgo",10332,2,2,3,3,1
12000," CLAVEL,  La Candelaria, Coyoacán",5821,58,1,1,1,2
25000," Ernest J. Piper,  Paseo de las Lomas, Alvaro Obregón",11232,112,2,2,2,3
18000," Avenida Toluca,  Olivar de los Padres, Alvaro Obregón",12532,125,2,2,2,3
22000," lago zurich 243,  Ampliación Granada, Miguel Hidalgo",5511,55,1,1,1,1
26000," Departamento en Renta en San Nicolás de los Garza,  Cuauhtémoc, San Nicolás de los Garza",9822,98,2,2,2,2
25000," Departamento en Renta en Santa Catarina,  El Lechugal, Santa Catarina",9022,90,2,2,2,2
14000," 386, Guanajuato,  Unidad habitacional Unidad Nacional, Ciudad Madero",24021,240,2,1,1,2
45000," Lago Iseo 532,  Anáhuac I Sección, Miguel Hidalgo",9521,2,1,2,2,2
44999," Calle Chicontepec ,  Hipódromo Condesa, Cuauhtémoc",8522,85,1,2,2,2
40000," Av. Parque de Los Ciervos,  Juárez, Cuauhtémoc",20032,200,4,2,2,3
36500," Real de la Cumbre ,  Bosque Real, Huixquilucan",26033,260,3,3,3,3
1150011," Granados,  Granjas Navidad, Cuajimalpa de Morelos",7821,78,2,1,1,2
13000," Avenida Jardín,  Del Gas, Azcapotzalco",8232,82,2,2,2,3
28000," lago andromaco 104,  Ampliación Granada, Miguel Hidalgo",7811,1,1,1,1,1
45000," CERRADA DE FERROCARRIL DE CUERNAVACA 779,  Ampliación Granada, Miguel Hidalgo",11522,115,2,2,2,2
24500," Valparaiso 2367,  Providencia, Guadalajara",7521,75,2,1,1,2
45000," LAGO ZURICH 96,  Polanco, Miguel Hidalgo",10022,100,2,2,2,2
27000," Sierra Muinura 26,  Reforma Social, Miguel Hidalgo",12022,120,2,2,2,2
38000," Departamento en Renta en Dinastía,  Dinastía , Monterrey",19032,190,3,2,2,3
13000," Calle Doctor José María Vértiz,  Letrán Valle, Benito Juárez",6811,68,1,1,1,1
15000," Avenida México,  Jesús del Monte, Cuajimalpa de Morelos",6521,65,1,1,1,2
85000," Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo",18032,180,3,2,2,3
20000," Avenida Pedro Henríquez Ureña,  Rinconada de los Reyes, Coyoacán",12522,125,2,2,2,2
88000," Avenida Paseo Del Río,  Barrio Oxtopulco Universidad, Coyoacán",48032,480,5,2,2,3
23500," Avenida Popocatepetl 234,  General Pedro María Anaya, Benito Juárez",10732,2,2,3,3,6
6500000," Carretera Mexico Toluca ,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",11533,115,2,3,3,3
13000," ,  Lomas de Cortes, Cuernavaca",9122,91,2,2,2,2
5000," Polanco ,  Polanco IV Sección, Polanco",24033,3,3,3,3,1
26900," Gral. Aureliano Rivera,  San Ángel, Alvaro Obregón",7012,1,2,1,1,3
72000," Campeche 377,  Hipódromo, Cuauhtémoc",15131,151,3,1,1,3
24500," La Luminaria Casonas y Villas,  Arcos de San Miguel, San Miguel de Allende",10021,2,1,2,2,
40000," Av. Carlos Lazo,  Santa Fe, Alvaro Obregón",19032,3,2,3,3,1
34000," Av Chapultepec 240,  Roma Norte, Cuauhtémoc",14722,2,2,2,2,2
16000," Carretera Federal México - Toluca 5860,  Contadero, Cuajimalpa de Morelos",4511,1,1,1,1,1
22000," Departamento en Venta/renta, 2 Recamaras, Av. Prol. La Luna, Cancun,,  Cancún, Quintana Roo",11522,115,2,2,2,2
33000," Enrique Rébsamen,  Del Valle Centro, Benito Juárez",12832,3,2,3,3,
120000," Blvd de los Virreyes,  Lomas de Chapultepec, Miguel Hidalgo",30332,3,2,3,3,1
15000," Miguel Ángel 23,  Santa María Nonoalco, Benito Juárez",7021,70,2,1,1,2
30000," Río Rhin 41,  Cuauhtémoc, Cuauhtémoc",7421,2,1,2,2,
85000," Mar Mediterraneo,  Country Club, Guadalajara",47534,3,4,3,3,1
9000," DALIA,  Cuauhtémoc, Monterrey",6511,65,1,1,1,1
36400," SEXTA SECCION LOMAS VERDES,  Lomas Verdes 6a Sección, Naucalpan de Juárez",18533,185,4,3,3,3
25500," Anahuac,  Anáhuac I Sección, Miguel Hidalgo",5511,55,1,1,1,1
20000," PRIVADA DEL ROMANCE,  BOSQUE REAL ,  Bosque Real, Huixquilucan",8022,2,2,2,2,
73000," Presa Falcon,  Ampliación Granada, Miguel Hidalgo",15232,152,3,2,2,3
23500," VENTANAS COYOACAN,  Ex-Hacienda Coapa, Coyoacán",10032,100,3,2,2,3
44800," SECRETARIA DE MARINA 840,  Bosques de las Lomas, Cuajimalpa de Morelos",24023,2,3,2,2,1
30000," Castillo de Chapultepec Lomas de Reforma Miguel Hidalgo,  Lomas de Reforma, Miguel Hidalgo",13431,134,2,1,1,3
430," calle 22,  Chuburna de Hidalgo, Mérida",5001010,12,10,10,10,12
26000," ELIPSIS,  Reserva Territorial Atlixcáyotl, San Andrés Cholula",12922,2,2,2,2,1
42000," Rio Churubusco 601,  Xoco, Benito Juárez",9222,92,2,2,2,2
12500," Zakia,  Zákia, El Marqués",8422,2,2,2,2,3
39000," Av. Empresarios 236,  Puerta de Hierro, Zapopan",13032,130,3,2,2,3
51678," Av. Presidente Masaryk ,  Polanco, Miguel Hidalgo",6221,1,1,2,2,7
31000," Avenida Tamaulipas,  Condesa, Cuauhtémoc",19031,190,2,1,1,3
55000," Lago Zurich 272,  Ampliación Granada, Miguel Hidalgo",10522,105,2,2,2,2
32000," Blvd Galerias,  Residencial Los Parques, Saltillo",9822,98,2,2,2,2
39000," Cozumel 39,  Roma Norte, Cuauhtémoc",14522,3,2,2,2,7
55000," Lamartine,  Polanco, Miguel Hidalgo",13522,2,2,2,2,6
21000," naciones unidas 4994  , Jardines Universidad , 45110 Zapopan, Jalisco, México,  Jardines Universidad, Zapopan",5511,55,2,1,1,1
26000000," Mar Egeo 1467,  Country Club, Guadalajara",34534,3,4,3,3,1
21000," C. Dr. José María Vértiz,  Vertiz Narvarte, Benito Juárez",7622,2,2,2,2,10
27000," Departamento en Renta, Luma City Living -milenio Iii, Querétaro, Qro.,  Milenio III, Querétaro",18132,181,2,2,2,3
30000," Hacienda el Ciervo 11,  Hacienda de las Palmas, Huixquilucan",20332,2,2,3,3,1
12000," BLVD CAMPESTRE,  El Refugio, León",13022,2,2,2,2,3
75000," AV 38,  Zazil Ha, Solidaridad",18021,180,2,1,1,2
35000," calle tomas ,  Ladrón de Guevara, Guadalajara",11022,2,2,2,2,6
33000," Cda De Ferrocarril De Cuernavaca 779,  Ampliación Granada, Miguel Hidalgo",7511,75,1,1,1,1
72000," Av. Ejército Nacional 769,  Polanco, Miguel Hidalgo",17032,170,3,2,2,3
13500," JARDINES DEL SUR CANCUN,  Jardines del Sur, Cancún",9821,98,1,1,1,2
24000," Chapultepec  480,  Americana, Guadalajara",11022,2,2,2,2,8
27000," Río Tiber 56,  Cuauhtémoc, Cuauhtémoc",9021,90,2,1,1,2
16000," HUIZACHES # ,  Ex Hacienda San Juan de Dios, Tlalpan",9322,2,2,2,2,14
40000," Av. Ejercito Nacional Mexicano,  Polanco, Miguel Hidalgo",11512,2,2,1,1,1
23500," AV 56 NORTE,  Nuevo Centro Urbano, Solidaridad",9431,94,2,1,1,3
27500," Paseo de la Reforma al 489,  Santa Fe, Alvaro Obregón",10022,100,3,2,2,2
17500," ADAMANT,  Lomas del Marqués , Querétaro",7611,76,1,1,1,1
33000," Arista 500,  Centro, Veracruz",15121,151,2,1,1,2
135000," Valle del Campestre,  Valle del Campestre, San Pedro Garza García",28233,3,3,3,3,1
46500," prol san alberto S/D,  Residencial Santa Bárbara , San Pedro Garza García",18632,3,2,3,3,1
13500," Zotitla ,  Abdias Garcia Soto, Cuajimalpa de Morelos",5512,1,2,1,1,1
85000," Bosques de la reforma 1592,  Bosques de las Lomas, Cuajimalpa de Morelos",43033,3,3,3,3,1
4500," PALOMA ,  Roble San Nicolás, San Nicolás de los Garza",16042,160,2,2,2,4
38000," Av. Patria #,  Puerta de Hierro, Zapopan",10022,2,2,2,2,4
40000," PRIVADA DEL SILENCIO ,  Bosque Real, Huixquilucan",19033,4,3,3,3,1
15000," CARRETERA MÉXICO-TOLUCA,  Santa Fe, Alvaro Obregón",40611,1,1,1,1,7
65000," Séneca 510,  Polanco, Miguel Hidalgo",18531,185,2,1,1,3
45000," THIERS,  Anzures, Miguel Hidalgo",13022,2,2,2,2,1
14000," Alhambra,  Benito Juárez, Ciudad de México",6521,65,1,1,1,2
15500," Valle de la redonda 5,  Zibatá, El Marqués",8322,83,2,2,2,2
70000," Gran Coral, Complejo Marea Azul, 5ta Av con Calle 112, Playa del Carmen, QROO, 77710,  Playa del Carmen, Solidaridad",16721,3,1,2,2,9
18000," ORTIZ MENA #,  Lomas del Santuario, Chihuahua",6522,2,2,2,2,
8000," Arco de santa catalina,  Rancho o rancheria Mata de Pita, Veracruz",6821,68,1,1,1,2
27000," Calle Río Tiber 100,  Cuauhtémoc, Cuauhtémoc",8621,86,2,1,1,2
16500," Floresta ,  Recreo, Azcapotzalco",12542,125,3,2,2,4
4500," Av. San Francisco  570 7201-B,  Condominio San Francisco, Zapopan",4721,47,1,1,1,2
14500," VALLE ESMERALDA,  Zona Esmeralda, Atizapán de Zaragoza",9022,90,2,2,2,2
36000," Miguel de Cervantes Saavedra 388,  Irrigación, Miguel Hidalgo",11022,110,2,2,2,2
18900," Departamento en Renta Residencial Zacatenco, Lindavista, Vista Norte,  Residencial Zacatenco, Gustavo A. Madero",9031,90,2,1,1,3
42000," Francisco de Montejo,  Francisco de Montejo , Mérida",25032,2,2,3,3,1
20000," Cam. Real de Calacoaya 40,  Calacoaya Residencial, Atizapán de Zaragoza",11822,118,2,2,2,2
70000," taine 226,  Polanco V Sección, Polanco",23032,230,3,2,2,3
