precio,ubicacion,tamanio,direccion,colonia,alcaldia
45000," Ejército Nacional,  Polanco, Miguel Hidalgo",701, Ejército Nacional,  Polanco, Miguel Hidalgo
13000," PORTALES ORIENTE,  Portales Oriente, Benito Juárez",12, PORTALES ORIENTE,  Portales Oriente, Benito Juárez
26000," BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo",30, BLVD. MANUEL AVILA CAMACHO,  Lomas de Chapultepec, Miguel Hidalgo
50000," Masaryk,  Polanco, Miguel Hidalgo",50, Masaryk,  Polanco, Miguel Hidalgo
42720," VASCO DE QUIROGA 3900,  Contadero, Cuajimalpa de Morelos",40, VASCO DE QUIROGA 3900,  Contadero, Cuajimalpa de Morelos
8000," Francisco Olaguibel 82,  Obrera, Cuauhtémoc",27, Francisco Olaguibel 82,  Obrera, Cuauhtémoc
14990," Santa Lucia 881,  Colina del Sur, Alvaro Obregón",41, Santa Lucia 881,  Colina del Sur, Alvaro Obregón
78880," CENTRO HISTORICO,  Centro Histórico de la Cdad. de México, Cuauhtémoc",53, CENTRO HISTORICO,  Centro Histórico de la Cdad. de México, Cuauhtémoc
16000," LAGUNA DE TERMINOS,  Granada, Miguel Hidalgo",602, LAGUNA DE TERMINOS,  Granada, Miguel Hidalgo
25000," SANTA APOLONIA,  Santa Apolonia, Azcapotzalco",66, SANTA APOLONIA,  Santa Apolonia, Azcapotzalco
23100," Balboa 1002, Local C y D, Colonia Portales, C.p. 03300, Alcaldía Benito Juárez,  Portales Norte, Benito Juárez",78, Balboa 1002, Local C y D," Colonia Portales, C.p. 03300, Alcaldía Benito Juárez,  Portales Norte, Benito Juárez"
40000," Bar Sobre Tamaulipas en Traspaso,  Hipódromo, Cuauhtémoc",40, Bar Sobre Tamaulipas en Traspaso,  Hipódromo, Cuauhtémoc
9500," Doctor Martinez del Rio,  Doctores, Cuauhtémoc",25, Doctor Martinez del Rio,  Doctores, Cuauhtémoc
14000," avenida revolución 2015,  La Otra Banda, Coyoacán",22, avenida revolución 2015,  La Otra Banda, Coyoacán
16000," Cuauhtémoc ,  Narvarte Poniente, Benito Juárez",10, Cuauhtémoc ,  Narvarte Poniente, Benito Juárez
5000," Calle 4, 10,  Agrícola Pantitlan, Iztacalco",15, Calle 4, 10,"  Agrícola Pantitlan, Iztacalco"
20000," Doctor erazo 106 ,  Doctores, Cuauhtémoc",70, Doctor erazo 106 ,  Doctores, Cuauhtémoc
6000," Liberato lara,  La Providencia, Azcapotzalco",10, Liberato lara,  La Providencia, Azcapotzalco
50000," Tabasco,  Roma Norte, Cuauhtémoc",754, Tabasco,  Roma Norte, Cuauhtémoc
28000," AV FELIX CUEVAS,  Tlacoquemecatl, Benito Juárez",33, AV FELIX CUEVAS,  Tlacoquemecatl, Benito Juárez
16000," RANCHO SAN LORENZO,  Los Girasoles, Coyoacán",751, RANCHO SAN LORENZO,  Los Girasoles, Coyoacán
43020," VASCO DE QUIROGA 3900,  Contadero, Cuajimalpa de Morelos",40, VASCO DE QUIROGA 3900,  Contadero, Cuajimalpa de Morelos
8000," Calzada de Guadalupe,  Vallejo, Gustavo A. Madero",41, Calzada de Guadalupe,  Vallejo, Gustavo A. Madero
20000," Cuauhtémoc ,  Narvarte Poniente, Benito Juárez",10, Cuauhtémoc ,  Narvarte Poniente, Benito Juárez
15000," José María Velasco 80,  San José Insurgentes, Benito Juárez",14, José María Velasco 80,  San José Insurgentes, Benito Juárez
9000," av baja california,  Condesa, Cuauhtémoc",30, av baja california,  Condesa, Cuauhtémoc
12000," Bernardo Couto,  Algarín, Cuauhtémoc",23, Bernardo Couto,  Algarín, Cuauhtémoc
30000," Lomas de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",301, Lomas de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo
18000," Canarias 928,  Portales Norte, Benito Juárez",77, Canarias 928,  Portales Norte, Benito Juárez
15000," Monte Libano, Lomas de Chapultepec, Miguel Hidalgo,  Lomas de Chapultepec, Miguel Hidalgo",28, Monte Libano, Lomas de Chapultepec," Miguel Hidalgo,  Lomas de Chapultepec, Miguel Hidalgo"
25000," Miramontes,  Coapa, Coyoacán",15, Miramontes,  Coapa, Coyoacán
17908," Renta DE Local EN Prolongacion Paseo DE LA Reforma,  Lomas Altas, Miguel Hidalgo",28, Renta DE Local EN Prolongacion Paseo DE LA Reforma,  Lomas Altas, Miguel Hidalgo
